Hakusana	Sanaluokat	count
enempää		11924
osin		5453
osakseen		2696
uhalla		1809
niinku		845
vuonna		838
tahtomattaan		500
äläkä		89
sinut		34
kystä		16
ummet		7
paratkoon		6
vip		4
halpis-		3
uhallaan		3
