Hakusana	Sanaluokat	count
hoteisiin	postpositio	152
turvin	postpositio	143
kantaan	postpositio	141
paikalle	adverbi, postpositio	139
tykönä	postpositio	132
ohesta	postpositio, adverbi	129
valtaan	adverbi, postpositio	129
huomaan	postpositio	128
perästä	adverbi, postpositio	118
ulottuvilla	postpositio	106
seutuvilla	postpositio, adverbi	102
liepeille	postpositio, adverbi	98
hoteissa	postpositio	95
puheille	postpositio	95
jäljestä	postpositio, adverbi	91
loppuun	adverbi, postpositio	90
kieppeille	postpositio, adverbi	85
jäljille	postpositio, adverbi	82
likellä	prepositio, postpositio, adverbi	70
maissa	adverbi, postpositio	68
tasalle	postpositio, adverbi	65
perällä	postpositio	63
lomitse	postpositio	59
riippuen	postpositio	58
kannalta	adverbi, postpositio	55
seutuville	postpositio, adverbi	55
maista	adverbi, postpositio	53
paikkeilta	postpositio, adverbi	53
kuluttua	postpositio	50
sisästä	postpositio	49
sivulla	postpositio, adverbi	47
seuduilla	postpositio, adverbi	44
vallasta	adverbi, postpositio	44
tasalta	postpositio, adverbi	43
nurkilla	postpositio, adverbi	40
paikalta	adverbi, postpositio	40
likelle	prepositio, postpositio, adverbi	37
keralla	postpositio, adverbi	36
sivulle	postpositio, adverbi	36
huostasta	postpositio, adverbi	35
pakeilla	postpositio	34
kimpusta	postpositio	33
sivuitse	postpositio, adverbi	32
ulottumattomiin	postpositio	32
pitäen	postpositio	30
vieritse	postpositio	30
lähimailla	adverbi, postpositio	25
seudulla	postpositio, adverbi	25
nurkille	postpositio, adverbi	22
kintereiltä	postpositio	21
hoteista	postpositio	19
likeltä	prepositio, postpositio, adverbi	19
partaalla	postpositio	17
kannalle	adverbi, postpositio	16
ulottumattomissa	postpositio	16
kupeesta	postpositio	15
lomaan	postpositio	15
seutuvilta	postpositio, adverbi	13
tautta	postpositio	13
korvissa	postpositio	11
välitse	postpositio, adverbi	11
kieppeissä	postpositio, adverbi	9
pakeilta	postpositio	9
peittoon	postpositio	9
perälle	postpositio	9
tanhuvilla	postpositio, adverbi	9
keskivaiheilla	postpositio	8
länsipuolitse	postpositio, adverbi	8
puheilla	postpositio	8
ulottuviin	postpositio	8
kannassa	postpositio	7
tasaan	postpositio, adverbi	7
kupeeseen	postpositio	6
keskipaikkeilla	postpositio	5
keskivaiheilta	postpositio	5
kupeelle	postpositio	5
lukien	postpositio	5
lähimpänä	prepositio, postpositio, adverbi	5
pinnassa	postpositio	5
riippumatta	postpositio, prepositio	5
johtuen	postpositio	4
korville	postpositio	4
lopulla	postpositio	4
maihin	adverbi, postpositio	4
taitse	postpositio	4
ulottuvissa	postpositio	4
ääressä	postpositio	4
keskeen	postpositio	3
kintereille	postpositio	3
kupeella	postpositio	3
lähimaille	adverbi, postpositio	3
nojassa	postpositio	3
tanhuville	postpositio, adverbi	3
tasassa	postpositio, adverbi	3
kannoille	postpositio	2
kannoilta	postpositio	2
lähiseutuvilla	adverbi, postpositio	2
peitosta	postpositio	2
ansiosta	adverbi, postpositio	1
keralle	postpositio, adverbi	1
keskipaikkeille	postpositio	1
lähimailta	adverbi, postpositio	1
perältä	postpositio	1
välimailla	postpositio, adverbi	1
